Q normint
5.6023 0.001
11.2047 0.001
13.1431 0.005
13.4383 0.007
14.2874 0.017
15.6 0.005
17.2709 0.011
19.2069 0.042
21.3358 0.006
22.7645 0.028
23.6055 0.002
25.9792 0.004
26.2862 0.0671
26.4351 0.0981
26.8766 0.2683
27.5968 0.0841
28.0117 0.4324
28.5747 0.2172
29.7847 1.0
30.9419 0.003
31.2 0.1612
32.7941 0.044
33.4989 0.001
33.614 0.001
34.5421 0.1111
34.8861 0.002
35.2219 0.003
35.7744 0.001
36.0954 0.016
36.4217 0.03
36.5341 0.018
37.4882 0.012
38.4139 0.033
38.6222 0.003
38.7146 0.002
39.4293 0.005
39.5288 0.003
39.9208 0.001
40.5019 0.02
40.5971 0.011
41.3688 0.002
41.843 0.001
42.6717 0.049
42.9509 0.001
44.0252 0.003
44.6526 0.001
44.9114 0.013
45.5291 0.2062
46.461 0.001
46.7059 0.001
46.8002 0.001
47.2113 0.032
47.7183 0.001
48.1277 0.001
48.3666 0.006
48.5321 0.003
48.695 0.001
49.4146 0.008
49.5624 0.1401
50.2803 0.001
50.3512 0.001
50.4211 0.001
51.2849 0.001
51.9584 0.022
52.1058 0.011
52.4131 0.002
52.5728 0.006
52.6472 0.008
52.87 0.021
53.2401 0.01
53.4562 0.2142
53.7534 0.022
54.406 0.1001
54.5406 0.0551
55.1936 0.017
55.322 0.009
56.0234 0.03
56.1099 0.016
56.5249 0.001
56.7264 0.001
56.8615 0.015
57.1495 0.015
57.2897 0.008
57.5627 0.001
57.9027 0.001
58.0992 0.001
58.3046 0.005
58.9767 0.002
59.3595 0.004
59.5694 0.006
59.7041 0.003
60.2295 0.002
60.4718 0.002
60.9369 0.004
61.2494 0.001
61.5108 0.001
61.6255 0.001
61.8834 0.005
62.4003 0.011
62.5911 0.006
63.0117 0.001
63.3334 0.002
63.5751 0.001
63.7711 0.001
63.9526 0.004
64.4305 0.003
65.0502 0.001
65.2255 0.001
65.5881 0.01
65.7538 0.005
65.9541 0.001
66.2508 0.001
66.4246 0.003
66.9978 0.01
67.1916 0.007
67.3004 0.049
67.8309 0.001
68.2937 0.001
68.5077 0.002
69.0839 0.009
69.2068 0.005
69.4264 0.001
69.6033 0.009
69.7722 0.022
70.0528 0.006
70.4437 0.018
70.9432 0.0941
71.549 0.017
72.1908 0.1011
72.8433 0.009
73.0682 0.018
73.2314 0.009
73.392 0.001
73.6588 0.001
73.8153 0.001
73.9753 0.006
74.5062 0.001
74.8001 0.046
74.9762 0.029
75.1307 0.004
75.5379 0.001
75.6889 0.001
75.7594 0.001
76.0671 0.005
76.3053 0.003
76.5323 0.001
76.8277 0.004
77.2442 0.016
77.4289 0.016
77.7391 0.001
77.9377 0.001
78.0002 0.001
78.1875 0.001
78.356 0.001
78.5037 0.005
