Q normint
14.9649 0.0771
18.1883 0.044
22.9496 0.025
27.3042 1.0
27.9055 0.9349
29.9298 0.002
31.2183 0.6326
33.1558 0.2563
36.3765 0.012
40.3236 0.009
40.5132 0.004
40.9208 0.013
43.2479 0.013
43.391 0.0871
44.6666 0.002
44.8947 0.0741
45.5401 0.2803
45.899 0.006
47.049 0.005
50.2935 0.002
51.5898 0.1632
52.5459 0.1471
54.2599 0.0661
54.5647 0.0801
54.6084 0.0801
55.8109 0.0571
56.2858 0.004
56.6217 0.004
59.6429 0.005
59.8594 0.002
61.967 0.001
62.2346 0.003
62.4363 0.037
65.5152 0.001
65.7929 0.006
66.3116 0.016
66.4244 0.002
67.1646 0.03
67.9792 0.001
68.4287 0.003
68.8487 0.029
69.3526 0.027
69.7145 0.0561
70.007 0.001
70.1706 0.002
70.4249 0.0541
70.6939 0.0571
70.7507 0.033
72.2275 0.001
72.7532 0.001
73.2926 0.0511
73.5315 0.001
73.9322 0.002
75.0729 0.001
75.8676 0.003
76.4163 0.048
78.1343 0.044
