Q normint
13.8464 0.006
15.3638 0.001
17.3909 0.039
19.203 0.1081
20.8603 0.039
23.0401 0.0571
24.2869 0.019
24.7425 0.013
25.7646 0.0831
27.6928 0.1782
27.8304 1.0
28.8666 0.4555
30.1206 0.1612
30.7276 0.015
31.2045 0.2973
31.7856 0.009
32.5876 0.1451
32.816 0.003
34.1385 0.001
34.7816 0.001
35.4035 0.001
36.1301 0.046
36.3363 0.009
36.6398 0.03
37.8213 0.029
38.4062 0.0721
38.6891 0.011
38.7887 0.021
39.542 0.007
40.1 0.005
40.4664 0.032
40.9131 0.023
41.4543 0.009
41.5393 0.007
41.7205 0.0641
43.0282 0.022
43.7939 0.008
44.3726 0.001
44.7898 0.001
45.1185 0.0791
46.0912 0.02
46.2449 0.001
46.716 0.041
47.1925 0.001
47.4294 0.01
47.5094 0.041
48.5738 0.006
48.6498 0.021
48.8059 0.021
49.0321 0.02
49.2527 0.002
49.4847 0.049
50.0058 0.037
50.5928 0.001
50.8105 0.004
51.018 0.036
51.5217 0.017
51.6691 0.013
51.9541 0.005
52.1724 0.0831
52.7325 0.041
53.4293 0.016
53.8396 0.019
53.9732 0.021
54.3853 0.001
54.588 0.001
54.9936 0.001
55.3853 0.001
55.6611 0.018
55.7881 0.001
55.9909 0.005
56.1792 0.037
56.8404 0.038
57.0333 0.008
57.1636 0.007
57.541 0.029
57.7335 0.004
58.1099 0.002
58.5011 0.001
58.688 0.002
59.6842 0.008
59.9892 0.003
60.1684 0.012
60.2347 0.019
60.3609 0.014
60.5464 0.011
61.6218 0.009
61.9848 0.005
62.0392 0.005
62.4089 0.018
62.5257 0.002
63.2297 0.001
63.5711 0.001
63.9215 0.009
64.4428 0.002
64.7843 0.002
65.2837 0.008
65.5174 0.001
65.6829 0.007
65.7986 0.01
65.9584 0.002
66.1306 0.001
66.3033 0.001
66.5261 0.003
66.6933 0.012
67.0166 0.006
67.287 0.001
67.4559 0.013
67.5181 0.006
67.6194 0.003
68.2772 0.009
68.9235 0.001
69.1201 0.002
69.232 0.002
69.4449 0.007
69.6141 0.008
69.7177 0.009
69.8797 0.003
70.0902 0.007
70.4047 0.015
70.5063 0.004
70.8592 0.017
70.9682 0.002
71.1315 0.014
71.2912 0.003
71.8058 0.026
72.2119 0.013
72.358 0.009
72.5151 0.017
72.6726 0.001
72.8608 0.011
72.9748 0.005
73.2797 0.013
73.7712 0.001
74.2272 0.005
74.5126 0.007
74.6168 0.004
74.9218 0.005
75.4031 0.017
75.6425 0.001
75.7937 0.004
75.8374 0.005
75.9393 0.003
76.089 0.003
76.7226 0.012
76.8122 0.003
77.1029 0.006
77.2347 0.003
77.2938 0.004
77.3865 0.007
77.5841 0.007
77.678 0.004
77.9568 0.016
78.1045 0.002
78.4347 0.016
