Q normint
8.7019 0.001
11.8405 0.009
12.3064 0.001
13.3439 0.03
14.6942 0.009
17.0776 0.001
17.4039 0.001
18.1523 0.007
19.4581 0.008
21.0497 0.009
21.9307 0.003
22.1857 0.002
22.7775 0.0501
23.6809 0.2022
24.4673 0.002
25.2292 0.0511
25.3703 0.8098
26.1057 0.3594
26.6876 0.3333
27.3879 0.6577
27.9972 1.0
28.6655 0.4855
29.3885 0.1001
29.9571 0.009
30.0257 0.01
30.6496 0.1021
30.7659 0.008
31.3753 0.007
32.4498 0.029
32.9658 0.035
33.1359 0.001
33.535 0.036
34.1552 0.004
34.705 0.005
34.8076 0.001
35.1879 0.01
35.5214 0.003
35.879 0.001
36.0505 0.001
36.3046 0.002
36.5717 0.005
36.7665 0.001
36.9192 0.001
37.4283 0.001
37.5927 0.001
37.7821 0.001
38.093 0.003
38.8243 0.017
38.9162 0.004
39.3089 0.02
39.5559 0.001
40.5017 0.006
40.728 0.04
41.1402 0.012
41.8804 0.001
42.0996 0.001
42.9893 0.1512
43.5097 0.0601
43.6512 0.1652
43.8612 0.0801
44.0827 0.0841
44.2906 0.0521
44.6701 0.008
44.7959 0.1171
44.9333 0.009
45.092 0.0541
45.5549 0.034
45.9685 0.033
46.3343 0.0711
46.8613 0.001
46.9927 0.008
47.3619 0.0651
47.5875 0.006
47.76 0.002
48.0581 0.005
48.3339 0.003
48.5772 0.004
48.9347 0.001
49.2253 0.001
49.32 0.001
49.5366 0.005
49.7326 0.001
50.2952 0.001
50.4584 0.002
50.7403 0.0711
51.0019 0.001
51.203 0.001
51.6009 0.001
52.1036 0.029
52.2114 0.027
52.5051 0.001
52.5728 0.002
52.69 0.004
53.0482 0.003
53.5372 0.019
53.7291 0.0751
54.0801 0.036
54.2397 0.002
54.4569 0.003
54.6255 0.032
54.7755 0.002
54.971 0.0691
55.8302 0.001
55.9944 0.015
56.1681 0.02
56.295 0.004
56.4771 0.003
56.6303 0.002
56.7295 0.004
56.8116 0.005
56.9636 0.003
57.1704 0.026
57.331 0.004
57.6604 0.001
57.8025 0.001
57.9518 0.014
58.3745 0.001
58.8028 0.001
59.2023 0.001
59.4173 0.001
59.5632 0.003
59.7609 0.001
59.8383 0.001
59.9142 0.001
60.2295 0.001
60.3661 0.001
60.5429 0.003
60.7038 0.001
60.7801 0.001
60.9133 0.001
61.0144 0.001
61.2996 0.001
61.4741 0.011
61.7478 0.001
61.8389 0.002
61.9383 0.013
62.318 0.001
62.661 0.003
62.9948 0.011
63.1491 0.009
63.351 0.002
63.7459 0.001
63.8578 0.001
64.1147 0.001
64.3135 0.018
64.4094 0.024
64.7026 0.013
65.0644 0.018
65.1906 0.039
65.5035 0.002
65.7918 0.001
65.9315 0.014
66.079 0.002
66.218 0.013
66.4724 0.003
66.557 0.013
66.7192 0.002
66.9329 0.007
67.0024 0.003
67.0702 0.004
67.3213 0.001
67.4738 0.003
67.6019 0.015
