Q normint
9.1096 0.001
12.883 0.001
13.9928 0.02
14.4036 0.001
15.4042 0.005
18.2192 0.001
19.0202 0.001
20.3697 0.003
22.051 0.005
22.9726 0.003
23.2251 0.002
23.8586 0.0641
24.8439 0.2222
25.7659 0.001
26.3384 0.018
26.5589 0.8779
27.3289 0.3874
27.9855 0.3463
28.7173 0.6817
29.3203 1.0
30.0195 0.4965
30.8085 0.1131
31.3714 0.004
32.127 0.1251
32.8452 0.005
34.0092 0.028
34.5198 0.032
35.1158 0.028
35.7925 0.004
36.3674 0.002
36.8456 0.013
37.5599 0.001
37.8185 0.001
38.0404 0.001
38.363 0.001
38.6488 0.001
39.1819 0.001
39.5609 0.001
39.9526 0.001
40.676 0.025
41.1829 0.025
41.4811 0.001
41.9783 0.001
42.4698 0.009
42.5913 0.017
42.6674 0.048
43.0757 0.01
43.9108 0.001
44.1019 0.001
45.0331 0.1491
45.5483 0.0571
45.7616 0.1802
45.9453 0.0811
46.2126 0.0941
46.3945 0.0621
46.7703 0.014
46.8949 0.1281
47.2117 0.0681
47.7173 0.038
48.0824 0.012
48.1498 0.035
48.5119 0.0811
49.057 0.001
49.255 0.008
49.6878 0.0811
49.8435 0.006
50.3097 0.004
50.605 0.002
50.9122 0.003
51.3306 0.001
51.5319 0.001
51.8829 0.003
52.1201 0.001
52.6768 0.003
53.1177 0.0771
53.398 0.001
53.7011 0.001
54.0736 0.001
54.551 0.042
54.6578 0.03
54.9888 0.002
55.2125 0.004
55.4117 0.001
55.5872 0.003
56.0514 0.025
56.3404 0.0921
56.7075 0.044
57.0608 0.003
57.2078 0.034
57.5695 0.0741
58.4968 0.004
58.6404 0.017
58.8507 0.027
58.9385 0.008
59.2895 0.002
59.3875 0.003
59.5513 0.004
59.6384 0.004
59.8988 0.034
60.039 0.005
60.3835 0.001
60.6727 0.01
61.1094 0.001
61.6061 0.001
62.0251 0.001
62.3588 0.002
62.6086 0.001
62.7424 0.001
62.9493 0.001
63.4004 0.005
63.7674 0.001
63.92 0.001
64.2541 0.001
64.3747 0.018
64.5762 0.001
64.6459 0.001
64.7361 0.002
64.8864 0.021
65.3647 0.002
65.6016 0.003
65.6511 0.004
65.9664 0.015
66.153 0.014
66.3191 0.004
66.4658 0.001
66.7773 0.002
66.8547 0.002
67.4056 0.024
67.55 0.04
67.8564 0.021
68.1323 0.026
68.3227 0.0601
68.6161 0.004
68.9177 0.002
69.0398 0.02
69.2181 0.003
69.3396 0.017
69.5915 0.004
69.6753 0.021
69.9638 0.002
70.1115 0.007
70.2315 0.005
70.4802 0.001
70.774 0.021
71.1485 0.025
71.2853 0.001
71.5757 0.002
71.6932 0.002
71.8742 0.001
72.018 0.02
72.2247 0.014
72.735 0.0531
72.8416 0.005
73.0814 0.019
73.4442 0.005
73.5767 0.001
73.8672 0.023
73.972 0.011
74.1474 0.001
