Q normint
9.2732 0.001
13.2497 0.001
14.0376 0.009
16.1724 0.033
18.5463 0.001
19.2103 0.0531
22.2644 0.036
22.793 0.014
24.1184 0.001
25.9087 0.004
26.3203 0.1161
26.4995 0.024
26.7021 0.007
26.902 0.2633
27.5182 0.5155
27.8194 0.6036
28.0752 0.2883
29.4065 1.0
29.9283 0.0871
30.8136 0.001
31.8627 0.3073
32.3448 0.1692
34.7664 0.047
34.9202 0.009
35.2089 0.1041
35.6318 0.018
35.8317 0.009
37.0927 0.001
37.3015 0.003
38.0155 0.002
38.4205 0.011
39.2669 0.006
39.388 0.003
39.7491 0.004
40.0187 0.002
40.8166 0.001
41.5289 0.02
41.6577 0.005
41.9 0.0501
43.7823 0.004
44.5288 0.0991
45.2452 0.0791
45.5598 0.1502
45.7953 0.0501
46.0156 0.002
46.494 0.005
46.6893 0.001
47.3747 0.003
47.4481 0.002
47.6358 0.001
48.2219 0.001
48.4958 0.008
49.118 0.1321
49.4321 0.012
50.0233 0.002
50.7325 0.002
51.1189 0.03
51.3168 0.001
51.8174 0.004
52.0242 0.04
52.5047 0.0991
52.6406 0.0501
53.1136 0.039
53.3816 0.1391
53.652 0.017
53.8041 0.003
54.2149 0.001
54.3678 0.001
54.7936 0.0781
55.0365 0.039
55.6389 0.038
55.9381 0.02
56.15 0.002
56.7669 0.028
57.2057 0.006
57.4758 0.014
57.8595 0.001
58.2285 0.001
58.75 0.003
58.8127 0.004
59.1443 0.004
59.4493 0.001
59.6894 0.001
59.9285 0.002
60.4032 0.001
61.1427 0.02
61.3756 0.001
61.6273 0.002
61.7824 0.001
62.1472 0.001
62.4474 0.002
63.7252 0.023
64.0333 0.001
64.2853 0.001
64.6896 0.001
65.0038 0.001
65.6079 0.003
65.8434 0.01
66.2505 0.001
66.4107 0.001
66.5309 0.007
66.7933 0.001
66.8945 0.001
67.4552 0.037
67.9427 0.001
68.0948 0.001
68.2525 0.003
68.3881 0.011
68.7233 0.015
68.9899 0.001
69.5009 0.044
69.8916 0.028
70.0434 0.02
70.1127 0.011
70.5023 0.01
70.6058 0.0741
70.7995 0.002
71.0346 0.003
71.2636 0.035
71.6636 0.002
71.9124 0.049
72.3088 0.006
72.4538 0.001
72.7068 0.014
73.001 0.001
73.1918 0.001
73.6344 0.017
74.2178 0.033
74.426 0.003
74.6031 0.001
75.2231 0.021
75.4341 0.003
75.5569 0.009
75.9259 0.001
76.0311 0.002
76.4016 0.001
77.0583 0.015
77.5419 0.013
77.726 0.021
77.8642 0.009
78.2773 0.001
78.5793 0.012
78.7761 0.007
