Q normint
8.9051 0.001
12.5938 0.001
13.6086 0.019
14.0802 0.001
14.9948 0.005
17.8103 0.001
18.5418 0.001
19.9125 0.003
21.5116 0.005
22.4143 0.003
22.7037 0.002
23.282 0.0641
24.1283 0.2242
25.1875 0.001
25.7192 0.039
25.9627 0.8759
26.7153 0.3834
27.2172 0.3443
27.9362 0.6867
28.6288 1.0
29.3131 0.4905
29.9897 0.1141
30.6359 0.004
31.2839 0.1261
31.4844 0.003
32.1078 0.005
33.1306 0.029
33.7166 0.033
34.2995 0.028
34.8797 0.004
35.4434 0.002
35.6205 0.001
35.9918 0.014
36.7361 0.002
37.0835 0.001
37.272 0.001
37.608 0.001
37.7812 0.001
38.3025 0.001
38.6479 0.001
38.8349 0.001
39.6666 0.025
39.8249 0.003
40.1633 0.026
40.3197 0.003
40.8259 0.001
41.3088 0.008
41.618 0.0611
42.0857 0.01
42.7242 0.001
43.0232 0.001
43.9351 0.1582
44.5418 0.2302
44.8285 0.0841
44.9844 0.0981
45.2687 0.0631
45.6994 0.013
45.8421 0.1311
46.1312 0.0701
46.564 0.039
46.9878 0.043
47.4029 0.0831
47.9704 0.009
48.2567 0.0781
48.3819 0.01
48.6464 0.005
49.1802 0.004
49.4497 0.002
49.596 0.003
50.375 0.001
50.643 0.004
50.767 0.001
51.4201 0.003
51.8042 0.018
51.9254 0.0771
52.1807 0.001
52.6971 0.001
53.3083 0.043
53.4307 0.03
53.6836 0.002
53.8137 0.005
54.1808 0.004
54.7975 0.1121
55.1582 0.045
55.4949 0.003
55.6251 0.003
55.8555 0.034
56.2093 0.0751
57.0333 0.004
57.2574 0.017
57.3797 0.027
57.5985 0.006
57.9417 0.003
58.0665 0.006
58.283 0.004
58.4071 0.034
58.6262 0.005
58.9634 0.001
59.2945 0.012
59.4044 0.001
59.7376 0.001
59.9794 0.001
60.0803 0.001
60.6171 0.002
60.9434 0.002
61.0619 0.001
61.2715 0.001
61.9157 0.005
62.347 0.001
62.5681 0.001
62.8688 0.018
62.9688 0.003
63.2941 0.022
63.5226 0.002
64.1177 0.006
64.4262 0.019
64.5348 0.014
64.8303 0.003
65.1464 0.002
65.3392 0.002
65.6709 0.0591
65.9721 0.02
66.2611 0.001
66.5597 0.0781
66.8391 0.006
66.9473 0.004
67.2428 0.002
67.4332 0.019
67.537 0.003
67.7266 0.016
68.0152 0.005
68.1112 0.021
68.3339 0.002
68.412 0.007
68.5991 0.004
68.9013 0.003
69.1713 0.022
69.5512 0.023
69.7593 0.001
69.846 0.002
70.0292 0.002
70.4013 0.02
